date,time,precipitation_mm,label
2025-09-05,2025-09-05T22:00,0.3,control - ordinary monsoon day
2025-09-05,2025-09-05T23:00,0.6,control - ordinary monsoon day
2024-06-20,2024-06-20T00:00,1.8,control - ordinary monsoon day
2024-06-20,2024-06-20T01:00,2.5,control - ordinary monsoon day
2024-06-20,2024-06-20T02:00,0.3,control - ordinary monsoon day
2024-06-20,2024-06-20T03:00,2.2,control - ordinary monsoon day
2024-06-20,2024-06-20T04:00,3.0,control - ordinary monsoon day
2024-06-20,2024-06-20T05:00,3.2,control - ordinary monsoon day
2024-06-20,2024-06-20T06:00,10.5,control - ordinary monsoon day
2024-06-20,2024-06-20T07:00,2.7,control - ordinary monsoon day
2024-06-20,2024-06-20T08:00,2.1,control - ordinary monsoon day
2024-06-20,2024-06-20T09:00,5.3,control - ordinary monsoon day
2024-06-20,2024-06-20T10:00,8.2,control - ordinary monsoon day
2024-06-20,2024-06-20T11:00,1.5,control - ordinary monsoon day
2024-06-20,2024-06-20T12:00,1.0,control - ordinary monsoon day
2024-06-20,2024-06-20T13:00,0.9,control - ordinary monsoon day
2024-06-20,2024-06-20T14:00,0.2,control - ordinary monsoon day
2024-06-20,2024-06-20T15:00,0.1,control - ordinary monsoon day
2024-06-20,2024-06-20T16:00,0.1,control - ordinary monsoon day
2024-06-20,2024-06-20T17:00,0.2,control - ordinary monsoon day
2024-06-20,2024-06-20T18:00,0.4,control - ordinary monsoon day
2024-06-20,2024-06-20T19:00,0.1,control - ordinary monsoon day
2024-06-20,2024-06-20T20:00,0.1,control - ordinary monsoon day
2024-06-20,2024-06-20T21:00,0.3,control - ordinary monsoon day
2024-06-20,2024-06-20T22:00,1.1,control - ordinary monsoon day
2024-06-20,2024-06-20T23:00,0.8,control - ordinary monsoon day
